236924:::5443,5584,13961,851,3634:::549:::3634
2379:::7148,12675,1436,2802,2980:::9297:::2802,2980
209642:::14396,9792,6187,1145,5786:::5856:::5786
288205:::109,5169,11994,7346,2802:::9297:::2802
180033:::1672,720,1520,10931,2802:::9297:::2802
163618:::4348,7689,13728,603,5249:::9431:::5249
174113:::12596,4999,5628,8548,1282:::1325:::1282
20402:::13132,7913,3390,8649,10269:::10269:::8649,10269
95119:::13456,9977,10466,2167,2170:::2174:::2167,2170
312515:::8636,9254,13261,5166,5339:::12794:::5339
101598:::10953,6874,6137,8357,7795:::7845:::7795
157693:::522,13883,12357,10576,3446:::4394:::3446
183866:::2974,11892,13438,1354,7767:::7869:::7767
298326:::7978,10782,4291,2788,164:::7479:::164
5613:::5488,5521,9081,6410,5843:::659:::5843
224518:::5956,211,5766,3755,3437:::10521:::3437
40044:::6648,8717,8209,3436,3437:::10521:::3436,3437
22220:::11857,13502,979,10467,2021:::646:::2021
88124:::4714,8107,12521,10322,9967:::9967:::9967
182774:::11802,3824,8916,7927,1890:::1612:::1890
337676:::2910,2520,8789,3437,10521:::3483:::3437,10521
12541:::7283,6203,3437,3452,3438:::3440:::3437,3452,3438
354152:::12316,7558,724,3452,3440:::7736:::3452,3440
146922:::6888,6,1780,10119,4602:::6232:::4602
110656:::1026,8362,5818,11585,3296:::10749:::3296
341965:::1455,1359,7098,141,3296:::10749:::3296
28582:::4302,2676,2550,2566,2551:::2677:::2676,2550,2566,2551
188767:::7742,542,12302,9202,1467:::1356:::1467
47698:::5486,6785,5708,9297,2550:::7431:::9297,2550
265520:::390,10472,10422,2685,5550:::6442:::5550
44001:::14482,2485,2550,2551,2676:::2674:::2485,2550,2551,2676
120054:::6866,1053,11760,2550,2552:::2566:::2550,2552
32896:::14250,11126,2360,6097,2550:::3440:::2550
354467:::6038,2073,8765,5786,5856:::6477:::5786,5856
85569:::5534,8473,1959,10316,6449:::7082:::6449
324843:::2733,13145,9656,6329,5786:::5856:::5786
343816:::7081,1017,5786,5856,5442:::5863:::5786,5856,5442
254829:::12147,2229,7451,10952,5786:::5856:::5786
118885:::14277,8468,8434,9119,2550:::2550:::2550
355959:::2251,5630,8195,1717,1671:::1672:::1671
210552:::8937,11901,6046,3685,1671:::1672:::1671
310493:::9342,5572,1522,6195,1671:::1672:::6195,1671
22185:::3230,8277,2633,2642,7588:::11647:::2633,2642,7588
189238:::3269,12421,282,1400,2633:::7588:::1400,2633
50179:::3182,4290,5497,6327,2633:::7588:::4290,5497,6327,2633
27987:::4396,2559,2559,2633,7588:::2557:::2559,2559,2633,7588
53421:::2560,2569,2561,2633,2642:::7588:::2560,2569,2561,2633,2642
246058:::9251,3784,2559,2558,2633:::2557:::2559,2558,2633
140385:::8066,11970,6527,12730,2670:::7397:::2670
